"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.hardwood","Pine","Spruce"
1,6,6,34,1,0,8,3,89,46,13,1
5,4,4,50,3,2,4,4,81,40,16,1
9,5,10,30,9,2,7,4,78,48,15,0
13,0,8,20,2,3,8,2,82,59,17,5
17,3,9,20,1,6,2,4,70,46,17,2
21,2,5,22,2,2,4,1,84,67,9,1
25,2,4,19,2,3,6,2,86,41,16,2
29,2,0,30,1,5,7,6,70,59,18,0
33,1,6,31,2,6,6,6,71,30,22,3
37,0,5,17,5,3,7,5,71,66,15,2
41,3,12,24,5,5,7,3,100,32,16,0
43,1,4,18,2,8,7,8,83,26,19,0
45,2,11,13,3,2,5,2,100,25,28,0
47,3,4,6,2,8,2,2,27,11,8,0
49,4,8,18,1,7,8,2,99,35,29,1
53,3,7,18,1,10,16,7,101,66,27,2
55,5,4,17,3,1,10,8,84,41,15,1
59,0,4,15,3,8,6,6,92,45,22,1
63,0,4,21,6,2,6,3,94,35,17,1
67,2,6,15,1,7,8,3,117,42,21,2
71,3,7,29,8,4,2,1,97,62,12,2
75,3,6,16,3,12,12,5,100,77,21,0
79,5,5,30,3,10,6,5,123,41,21,0
83,2,8,25,0,7,11,7,121,53,22,0
87,2,8,21,4,3,8,6,141,66,17,2
91,4,8,37,1,6,9,5,124,47,24,1
95,1,5,14,2,4,7,5,119,66,25,1
99,6,11,28,4,9,8,3,99,59,27,1
103,2,10,31,1,5,2,10,126,47,21,3
107,2,6,16,1,7,8,7,121,55,22,1
111,1,7,23,6,7,12,5,119,64,12,1
115,6,6,23,2,11,14,13,127,49,22,2
119,3,5,14,4,13,12,8,131,55,24,1
123,4,6,23,0,13,12,5,127,52,21,2
125,3,8,26,0,6,18,5,172,59,17,2
131,2,4,26,1,6,14,5,155,56,22,0
135,4,7,22,1,10,7,7,152,56,10,1
139,3,7,20,6,5,22,7,164,48,11,2
143,5,13,30,2,8,19,3,163,43,23,2
147,3,9,35,1,8,12,3,148,41,23,0
149,7,11,21,2,8,15,9,170,40,8,0
155,5,9,19,2,13,18,5,136,46,16,2
159,4,13,22,1,6,16,6,167,46,6,2
163,6,13,23,2,8,17,6,152,43,14,0
167,5,16,22,0,10,11,1,166,48,18,1
171,6,14,23,1,17,20,4,149,41,19,0
175,4,13,29,1,5,12,3,146,49,19,1
179,4,5,21,3,9,11,3,159,57,21,2
183,0,17,25,4,7,11,4,143,62,10,1
187,6,12,32,2,6,15,6,166,55,15,1
