"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,2,3,27,9,31,14,9,196,1,37,65,24,0
10,1,13,16,4,26,21,5,175,3,66,61,19,0
20,0,7,23,4,41,18,9,246,0,41,22,0,0
30,5,21,15,3,33,9,20,262,0,40,22,1,0
40,6,40,30,4,31,7,5,236,0,39,16,0,1
50,6,25,25,1,41,11,7,236,0,38,15,0,1
60,5,36,25,1,21,9,4,258,0,34,16,0,0
70,8,24,39,1,29,6,7,236,0,29,21,0,1
80,2,23,23,1,50,5,2,231,0,35,42,0,1
90,14,14,32,2,37,5,4,267,0,19,40,0,1
100,28,3,91,0,9,0,16,41,11,30,291,9,1
110,16,1,137,0,6,0,1,17,16,91,98,37,3
120,2,0,110,0,2,0,0,11,19,40,127,113,0
130,6,0,94,0,4,0,0,21,6,80,121,81,1
155,2,0,42,0,0,0,1,29,5,22,158,143,1
180,5,0,32,0,2,0,1,47,4,32,149,402,4
200,1,0,36,0,0,0,0,40,5,40,122,197,1
222,2,0,33,0,0,0,1,9,1,49,186,126,0
247,2,0,7,0,0,4,0,16,5,55,218,100,0
272,1,0,7,0,1,2,0,14,0,38,256,93,0
297,0,0,2,0,0,3,1,4,0,24,167,98,0
320,0,1,6,0,0,5,1,13,0,38,245,93,0
