"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.hardwood","Pine","Spruce"
0,0,2,33,0,2,8,3,63,19,30,0
4,0,5,38,0,6,4,1,64,14,37,1
8,0,7,48,1,2,10,2,68,25,47,0
12,0,3,28,1,2,9,1,66,10,35,0
16,0,6,33,0,3,14,1,56,14,43,0
20,0,3,32,2,5,11,2,89,5,41,0
24,1,12,33,5,6,8,4,56,6,36,0
28,0,4,28,2,3,13,1,68,18,43,1
32,0,8,34,7,6,18,5,62,13,57,0
36,0,1,25,2,7,11,4,43,12,41,0
40,0,3,20,0,7,20,4,41,9,42,0
44,1,5,23,1,10,13,0,50,8,56,1
48,0,7,11,1,4,15,5,46,17,48,2
52,1,7,22,1,11,4,2,59,8,46,2
56,0,5,20,1,15,7,2,37,2,71,0
60,0,2,25,0,14,18,5,62,10,60,3
64,0,12,17,1,10,13,0,49,7,60,0
68,0,7,22,2,27,6,1,73,7,88,7
72,0,7,27,1,30,3,3,50,3,127,0
76,0,7,12,0,15,4,1,52,2,130,2
80,0,9,37,1,11,3,5,109,10,94,3
84,4,2,13,0,14,15,3,86,12,80,1
88,0,10,22,3,10,9,7,86,3,69,2
92,0,4,34,0,12,13,3,94,11,107,4
96,0,6,28,0,18,13,8,109,15,47,4
100,0,4,21,5,16,13,7,95,6,67,0
104,0,5,27,5,9,10,2,72,15,60,3
108,0,2,24,0,18,26,3,81,18,53,0
112,0,7,23,1,19,16,6,85,7,75,0
116,0,7,14,3,21,16,4,89,5,60,0
120,0,1,24,0,17,25,6,90,8,49,0
124,0,8,5,3,13,17,2,68,6,87,2
128,0,7,25,1,21,9,5,61,7,70,0
132,0,6,13,2,28,9,0,56,8,106,0
136,0,3,13,3,17,15,7,60,8,80,3
140,0,1,19,5,17,13,7,68,12,86,1
144,0,5,11,4,17,11,4,66,8,92,0
148,0,5,8,0,18,10,0,81,8,113,0
152,0,4,15,3,28,10,4,70,12,107,0
156,0,1,18,1,17,10,0,65,7,110,0
160,0,5,19,2,14,11,4,45,4,138,3
164,0,7,19,0,15,21,2,67,4,129,0
168,0,0,0,0,0,0,0,0,0,0,0
172,0,7,13,0,9,19,5,41,16,147,0
176,0,0,0,0,0,0,0,0,0,0,0
180,0,3,14,0,9,20,2,63,23,124,0
184,0,0,0,0,0,0,0,0,0,0,0
188,0,3,13,0,10,5,6,46,10,179,0
192,0,0,0,0,0,0,0,0,0,0,0
196,0,3,14,0,15,27,2,60,17,113,0
200,0,3,9,1,22,13,4,53,12,124,4
202,0,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0
208,0,0,6,1,7,13,2,35,8,96,4
210,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0
220,0,3,23,4,24,11,1,65,17,133,6
222,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0
232,0,0,23,0,18,15,3,86,19,107,7
234,0,0,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0
244,0,3,14,1,26,10,0,77,9,111,5
246,0,0,0,0,0,0,0,0,0,0,0
