"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
335.5,6,21,89,1,6,0,5,63,1,21,50,3,0
355.5,6,14,85,1,12,0,4,63,0,29,50,2,1
375,8,18,69,1,19,0,6,80,2,37,44,8,0
375.5,5,21,73,1,19,0,5,82,1,22,70,8,1
385.5,7,27,93,0,28,1,5,95,0,29,53,10,0
395.5,5,39,82,1,29,1,8,85,0,25,32,5,0
400,3,61,100,0,74,3,7,43,4,39,31,20,0
405.5,8,56,107,2,33,0,8,61,1,33,42,7,0
420,4,53,85,1,76,0,7,19,2,22,22,9,0
440,14,93,135,2,74,1,15,34,1,30,74,1,0
460,4,67,69,1,75,0,3,16,2,15,42,2,0
480,6,69,63,0,98,0,12,25,0,10,30,1,0
500,4,43,71,1,42,1,6,33,0,18,91,0,0
520,5,61,94,1,42,1,11,44,0,16,76,0,0
540,4,65,90,0,81,1,12,24,1,13,41,3,0
560,10,80,91,0,113,1,19,35,0,20,40,0,0
580,9,85,57,0,48,0,6,32,0,16,43,0,0
600,7,117,82,1,65,2,14,60,0,43,117,2,2
620,8,70,110,1,42,1,25,109,0,37,147,0,0
640,8,77,111,1,20,1,19,136,0,37,121,1,1
660,8,93,215,1,5,0,16,219,0,38,132,1,0
680,8,61,65,0,20,1,8,72,0,30,94,0,0
700,12,69,115,0,43,1,14,49,0,33,72,0,0
720,7,37,63,0,60,1,17,87,0,30,136,1,0
740,7,58,84,0,90,2,6,47,1,29,60,0,0
760,16,69,116,0,115,0,12,55,0,19,96,0,0
780,11,44,83,2,129,0,8,101,0,19,75,2,0
800,0,17,54,1,77,0,2,51,0,25,69,0,0
820,6,35,80,0,96,0,12,64,0,39,52,1,0
840,12,34,81,0,70,0,9,58,0,26,32,1,0
860,4,30,91,1,95,1,9,62,0,20,39,0,0
880,14,55,81,0,109,1,7,26,0,19,34,1,0
900,7,37,73,0,70,0,18,63,0,22,94,1,0
920,7,23,51,0,64,2,7,56,0,29,82,1,0
940,14,14,45,0,98,0,12,80,0,27,91,1,0
960,10,5,56,0,53,1,5,74,0,27,73,4,0
980,8,7,45,0,46,0,3,55,0,35,188,0,0
1000,9,5,43,2,92,1,6,81,0,40,201,1,0
1020,7,1,45,0,30,0,6,75,0,35,97,0,0
1040,4,0,41,0,28,0,1,50,4,19,152,1,0
1060,13,1,85,0,15,0,3,103,0,41,180,0,0
1080,11,2,75,0,10,0,2,105,1,37,156,0,0
1100,1,0,53,0,8,1,1,58,1,40,132,0,0
1120,11,1,82,0,3,0,5,100,5,37,104,0,1
1140,4,0,131,0,10,0,7,122,4,23,344,1,0
1160,8,1,323,0,1,0,4,26,9,34,135,18,2
1180,6,0,40,0,0,0,2,13,12,63,52,72,7
1200,1,0,76,0,0,0,2,1,2,34,29,113,1
1220,0,0,17,0,0,0,1,2,1,22,48,200,0
1240,2,0,13,0,0,0,0,16,2,18,36,203,0
1260,0,0,18,0,0,0,0,3,0,12,36,114,0
1280,0,0,31,0,0,0,0,5,0,49,51,105,1
1310,0,0,9,0,0,1,0,1,0,10,30,62,0
