"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
1,5,8,52,0,82,3,7,65,0,3,35.5,1
3,9,1,69,0,163,2,8,64,0,10,150.5,3.5
5.5,4,11,179,3,119,3,1,104,0,12,57,1
7,9,4,101,1,139,3,16,97,0,5,123,2.5
9,7,6,196,13,89,2,22,80,0.5,10,39.5,0
11,3,1,401,46,24,2,3,25,0,4,15.5,0
13,1,0,492,22,9,1,0,3,0,1,1,0
14,0,0,460,42,4,0,2,6,0,4,0,0.5
15,0,7,113,299,13,0,3,35,0,5,29.5,8
16,3,0,105,294,15,1,3,32,0,7,48.5,1.5
17,6,3,93,223,33,1,3,25,0,5,90.5,2
18,0,0,32,48,4,2,1,9,0,0,16,0
19,0,3,11,37,14,0,0,16,0,1,35,0
20,0,6,32,28,17,0,1,8,0,1,20.5,0
21,1,16,26,17,11,0,0,20,0,1,7,1
22,0,8,29,28,21,0,0,0,0,1,12,0
23,0,6,39,25,15,0,0,10,0,0,10.5,0
24,3,51,154,47,65,1,7,160,0,17,58.5,0
