"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
0,3,5,147,1,114,4,6,194,1.5,10,39.5,2
0.5,9,9,63,0,249,2,4,96,0,5,76.5,0
1.5,7,2,79,0,202,0,5,139,0,2,63.5,2
3.5,4,9,133,0,134,1,5,150,0,9,50.5,0
4.5,2,11,97,0,31,2,5,87,0,6,13.5,0
7,8,5,172,1,135,2,11,102,0,5,64.5,0
9.5,7,2,129,0,142,3,8,129,0,11,68.5,0
12.5,2,5,192,3,111,3,14,127,0,18,35,0.5
14.5,3,0,328,54,16,0,2,75,0,5,8,0
15.5,3,0,255,154,20,0,3,48,0,7,16,1
16.5,1,2,188,208,22,0,6,46,0,9,24,0
18.5,1,1,216,173,18,1,13,33,0,15,70,1.5
20.5,4,5,121,281,16,3,2,19,0,4,54.5,0
22.5,3,9,116,294,12,0,7,22,0,8,42,0.5
