"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,62,155,0,62,12,8,102,1,155,277,5,168
2.5,71,75,1,80,13,9,82,0,121,74,0,15
7.5,116,78,2,110,9,7,70,0,82,38,0,8
12.5,120,96,4,94,5,6,70,0,77,31,2,1
17.5,107,74,5,109,7,3,83,0,86,36,2,2
22.5,137,60,1,145,7,5,68,0,64,45,1,1
27.5,114,59,3,152,7,8,77,0,59,42,3,0
32.5,119,72,3,149,11,4,78,0,59,43,0,0
42.5,147,61,2,127,12,1,63,0,49,29,0,0
57.5,142,63,0,133,8,7,76,0,51,35,1,0
72.5,162,61,4,150,10,4,60,0,56,23,0,3
92.5,208,44,2,105,9,4,60,0,63,32,0,3
122.5,217,53,4,100,2,2,59,0,75,21,1,2
147.5,217,54,2,86,9,3,63,0,45,21,0,2
172.5,219,57,2,80,8,2,55,0,61,24,1,1
197.5,185,63,2,74,10,5,91,0,58,25,0,2
222.5,141,71,2,81,16,6,80,0,67,18,0,3
247.5,200,59,2,60,11,12,64,0,67,20,1,1
272.5,206,62,1,48,6,5,77,1,72,19,0,0
297.5,217,64,1,59,11,4,67,0,77,27,0,0
322.5,191,64,0,55,5,10,91,0,67,14,0,0
347.5,223,74,0,52,13,8,67,0,77,17,0,0
372.5,218,47,0,150,6,3,70,0,80,7,0,0
397.5,191,34,0,149,9,3,82,0,81,20,1,0
422.5,124,50,0,140,6,4,76,0,82,21,1,0
447.5,96,50,1,183,7,3,89,0,95,36,0,0
472.5,32,33,0,188,5,3,112,0,88,60,0,0
487.5,5,26,1,172,4,3,119,0,92,103,1,1
502.5,5,31,0,163,8,4,127,0,90,134,0,0
517.5,3,32,0,84,0,3,125,1,70,261,0,0
532.5,0,50,0,16,4,3,125,4,83,360,1,0
547.5,1,42,0,9,3,2,145,7,72,316,2,5
562.5,0,43,1,2,2,2,123,7,94,270,1,0
577.5,2,40,0,9,3,0,54,63,63,214,111,13
592.5,1,23,0,10,2,0,39,9,69,148,275,15
603.5,0,39,0,12,2,0,48,7,107,159,264,26
611.5,0,14,1,15,2,0,50,14,86,124,262,25
619.5,0,12,0,1,1,0,50,9,37,87,339,0
626.5,0,7,0,0,4,3,50,3,30,63,385,1
632.5,0,9,0,0,2,7,65,8,69,136,273,1
