"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,19,17,224,7,37,4,17,114,2,31,48,3,0
2,12,31,197,3,38,6,27,128,1,24,52,1.5,0
4,7,43,207,9,52,1,18,104,0,16,60,3,0
6,16,63,161,19,51,3,20,90,2,25,60,16,0
8,3,46,206,28,61,2,27,77,0,37,44,12,0
10,7,33,171,12,64,10,13,100,0,15,71,23,0
12,13,58,162,13,67,3,8,84,0,33,80,21,0
14,6,68,130,5,72,8,17,102,2,13,68,13,0
16,3,83,107,13,96,5,10,86,1,15,66,30,0
18,5,68,127,11,99,5,19,75,0,15,68,34,0
20,6,61,104,16,68,3,18,101,0,18,80,31,3
22,3,58,129,6,99,2,9,108,0,11,81,17,4
24,7,56,110,12,114,7,17,71,0,10,80,20,5
26,4,64,119,8,106,13,11,74,0,14,72,29,3
28,7,76,125,11,39,2,16,89,0,16,41,33,2
30,11,57,127,11,116,7,14,82,0,12,64,39,2
32,9,79,107,6,121,5,13,87,0,6,71,21.5,3
34,9,57,110,16,118,3,9,78,0,14,72,28.5,3
36,8,72,137,13,81,0,9,91,0,18,63,20,2
39,3,72,123,11,99,8,10,101,0,19,46,21,1
41,11,83,133,5,129,0,17,70,0,15,33,20,2
43,5,75,124,7,104,7,18,87,0,9,43,24,2
46,5,105,146,7,105,3,11,62,0,8,42,14,1
49,7,103,116,8,110,7,10,98,0,15,55,13,1
51,10,99,122,7,87,5,9,82,0,10,46,26,1
53,13,126,92,15,110,10,10,67,0,9,36,25.5,0
55,4,123,134,8,95,11,19,56,0,18,37,21.5,1
57,9,133,87,8,92,11,30,84,0,14,32,17.5,1
59,15,103,104,11,122,4,15,65,0,6,48,26.5,0
61,10,115,104,6,125,8,12,53,0,14,42,24,0
63,6,133,91,5,149,5,12,55,0,11,50,9,1
65,9,108,114,5,131,5,13,69,1,13,26,8,2
67,8,114,85,10,138,1,18,64,0,11,53,3,2
69,7,109,114,3,150,6,15,63,0,9,38,16,0
