"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
7.5,0,31,73,35,7,42,42,263,0,159,33,0,0
17.5,21,4,33,57,19,28,8,324,0,141,33,1,0
22.5,8,19,20,23,9,19,23,418,0,109,58,2,0
32,8,24,48,52,12,40,16,343,0,196,46,4,0
37.5,7,10,88,28,21,42,21,465,0,155,46,7,0
47.4,26,16,95,36,16,39,6,477,0,134,49,3,0
58,15,15,70,35,20,30,20,434,0,170,57,0,0
68.5,18,25,73,23,25,61,5,503,0,144,28,4,0
79,18,23,91,32,32,43,20,409,0,171,59,1,0
94.6,29,8,66,24,29,45,4,492,0,131,66,8,0
100,6,29,100,29,6,42,6,572,0,118,95,0,0
122.6,12,49,73,21,46,55,21,443,0,160,55,3,0
157.5,13,39,71,10,22,38,16,481,0,127,52,0,0
172.5,12,58,112,15,9,45,9,482,3,118,30,3,0
197.5,9,81,51,9,21,9,0,516,0,126,60,0,0
222.2,8,59,54,0,5,38,16,507,0,162,39,0,0
270.5,11,37,65,11,25,48,11,513,0,151,30,0,0
295,11,40,40,0,3,48,11,596,0,162,31,6,0
320.5,27,31,44,0,3,34,14,578,0,138,61,0,0
354.5,26,18,48,0,9,35,13,586,0,144,44,0,0
384.5,26,19,34,7,0,48,22,579,0,161,32,0,0
409.5,25,33,58,0,8,69,2,556,0,120,42,2,0
424.5,11,33,52,0,16,57,11,598,0,112,31,0,0
461.5,32,46,43,3,8,40,11,582,0,114,34,0,0
486.5,11,54,65,3,38,76,8,497,0,131,43,3,0
511.5,7,31,37,6,29,35,15,590,0,149,41,0,0
542.5,41,43,55,16,36,31,24,515,0,158,40,1,0
566.5,13,54,31,5,23,26,10,504,0,204,41,0,0
585.5,3,31,38,3,45,3,0,657,0,125,30,0,0
606,26,47,61,2,34,17,8,507,0,199,30,0,0
627.5,24,43,41,3,7,7,14,525,0,189,51,0,0
637.5,34,67,46,0,50,4,16,470,0,156,57,3,0
643.8,33,63,58,4,58,13,0,501,0,183,40,0,0
669.5,25,48,38,2,42,15,19,545,0,162,41,0,0
680.5,22,43,24,0,50,4,4,565,0,177,47,4,0
692.5,8,65,40,0,40,16,20,588,0,113,34,0,0
702,27,52,37,2,43,2,27,553,0,153,40,0,0
705,11,25,73,5,27,2,7,589,1,105,91,4,0
712.8,21,45,44,2,34,6,8,625,0,95,61,1,0
715,26,38,57,8,41,5,7,558,0,133,53,1,0
719.5,33,38,55,2,36,6,9,589,0,123,55,1,0
724.5,27,36,52,0,32,9,7,596,0,137,35,3,0
725,23,30,51,1,42,2,7,564,0,150,45,2,0
734.5,21,28,49,6,44,1,3,581,0,120,70,1,0
739,32,19,56,3,34,0,4,554,0,102,107,1,0
759,23,11,70,2,30,5,6,586,0,90,84,4,0
779,24,2,52,1,34,1,11,508,0,113,148,2,0
789,25,4,55,1,36,4,3,446,0,105,220,8,0
799,16,2,56,3,43,0,15,434,3,121,222,6,0
805,19,5,61,0,42,0,7,421,2,75,261,14,0
816,20,4,38,0,40,2,8,410,0,98,297,6,0
820.2,11,2,68,2,51,0,3,321,2,87,380,6,0
837,12,1,75,4,54,0,7,349,0,69,366,7,0
849,10,0,80,0,39,2,2,314,0,128,361,1,0
860,21,2,60,0,48,4,2,266,0,76,475,2,0
865.5,10,1,82,3,63,0,2,301,2,55,426,6,0
870.8,12,1,78,2,11,2,5,198,3,110,512,8,0
882.8,15,4,108,0,8,0,12,199,3,107,485,11,4
887,10,2,131,2,13,0,6,72,6,103,522,10,3
897,21,0,190,2,19,0,0,50,22,137,368,92,6
907.6,0,0,143,0,6,0,0,40,62,220,223,208,16
915.2,5,5,164,0,5,0,0,22,32,188,299,200,10
925,0,3,59,0,3,0,0,25,26,143,328,248,19
930,8,0,63,1,3,0,0,21,22,212,310,210,6
937.5,0,0,64,0,0,0,0,26,16,203,383,191,20
943.7,14,1,96,0,0,2,0,37,14,200,356,138,8
948.7,31,8,76,0,0,0,0,29,8,131,342,184,29
950,13,5,117,0,0,0,0,45,24,95,321,247,16
955.8,23,5,94,0,0,0,0,130,8,113,294,145,5
957.1,27,12,88,1,0,1,0,81,7,108,298,178,6
962.6,6,8,89,0,0,3,0,59,13,131,283,176,11
970,43,12,87,0,0,4,0,103,8,95,328,162,20
974,13,13,65,0,0,3,0,94,11,58,416,176,19
980.2,10,1,69,0,0,1,0,88,8,144,372,148,5
986.2,29,0,79,0,2,2,0,81,5,105,230,270,12
992.6,10,0,67,0,2,0,0,105,6,91,250,280,6
996.3,5,0,55,0,0,0,0,65,8,140,249,329,5
1014,8,0,110,0,0,0,0,34,0,171,136,49,0
1023,9,0,115,0,0,5,5,23,0,221,138,41,0
1028,0,0,47,0,0,0,0,34,0,145,121,56,0
1033,11,0,45,1,0,3,0,20,0,152,203,59,0
1038,7,0,29,0,0,3,0,29,0,191,190,41,0
1043,6,0,26,0,0,0,0,38,0,182,136,46,0
1049,4,0,20,0,0,4,0,33,0,115,185,49,0
1053,0,0,11,0,0,0,0,22,0,117,138,54,0
1058,20,0,30,0,0,0,0,5,0,120,112,47,0
1063,0,1,14,0,0,2,0,35,1,73,302,85,0
1073,6,0,6,0,0,3,0,27,0,96,112,52,0
1078,0,0,17,0,0,0,0,29,0,124,147,21,0
1083,6,0,6,0,0,3,0,25,3,155,289,43,0
1093.5,2,2,8,0,0,0,0,14,0,133,244,55,0
