"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0.5,2,14,92,0,21,0,4,59,2,45,79,8,1
5.5,1,10,91,2,18,1,9,64,5,32,79,17,2
10.5,6,11,105,2,27,2,2,65,18,31,31,22,0
15.5,0,14,89,1,40,1,7,60,8,32,75,24,0
20.5,3,13,101,2,32,2,4,74,4,40,57,31,0
25.5,3,28,74,1,45,2,5,54,2,29,60,33,1
30.5,5,25,82,0,65,1,7,43,5,44,56,25,1
35.5,2,37,87,0,80,1,9,84,5,27,50,21,0
40.5,10,38,109,1,76,2,17,47,6,41,73,20,0
45.5,6,28,68,2,62,0,4,57,3,21,63,6,1
50.5,6,40,112,1,120,2,16,85,3,37,102,13,0
55.5,1,24,89,0,85,0,10,75,12,38,119,3,0
60.5,3,25,84,1,54,0,1,77,1,33,47,1,0
65.5,8,76,202,1,97,1,12,110,2,64,164,0,0
70.5,9,29,99,0,58,4,13,27,2,31,70,5,0
75.5,9,83,209,1,144,3,21,101,3,61,107,5,0
80.5,6,55,100,0,99,3,14,42,3,30,68,5,0
85.5,4,45,95,0,83,3,16,56,3,32,97,1,0
90.5,12,42,148,1,57,2,9,100,1,62,113,0,0
95.5,8,35,79,1,37,4,7,48,0,31,75,6,0
100.5,1,47,102,4,48,1,14,66,3,38,68,0,0
105.5,14,47,105,3,31,2,16,101,4,48,135,3,0
110.5,14,41,105,1,32,2,10,109,5,50,91,2,0
115.5,8,23,93,0,15,0,8,138,1,52,110,1,1
120.5,11,16,69,0,15,2,10,115,4,71,95,4,0
125.5,2,36,124,0,18,4,20,199,3,107,203,14,0
130.5,5,16,58,2,14,3,12,80,4,48,89,4,0
135.5,20,41,193,0,26,2,26,157,3,89,241,2,0
140.5,11,48,86,0,19,1,15,56,5,48,79,5,0
145.5,1,60,85,0,28,1,5,49,1,34,94,0,0
150.5,13,51,92,1,61,2,16,38,0,43,75,3,0
155.5,6,31,85,0,135,3,4,54,0,35,101,0,0
160.5,8,22,55,0,154,0,9,28,1,41,41,5,0
170.5,9,30,66,0,101,1,14,58,0,46,67,1,0
180.5,3,49,60,0,111,1,15,41,3,69,108,0,0
190.5,9,22,106,0,97,1,9,51,0,79,83,0,0
200.5,7,25,45,0,103,0,8,49,1,28,66,0,0
210.5,8,21,66,0,105,1,4,45,0,39,177,0,0
220.5,6,9,40,1,63,0,5,33,1,36,128,5,0
230.5,0,3,47,0,63,0,5,44,7,46,155,5,0
240.5,5,7,71,0,84,0,6,86,3,26,145,1,0
250.5,2,7,40,0,172,0,2,77,1,45,108,2,0
260.5,12,2,75,0,115,0,6,81,2,68,184,10,0
270.5,7,2,64,0,31,1,3,87,2,24,225,0,0
280.5,0,0,28,0,29,0,3,47,6,57,202,10,0
290.5,7,0,67,0,20,0,2,141,23,65,381,0,0
300.5,2,1,42,2,18,0,0,77,0,47,183,0,0
310.5,3,1,49,0,13,0,3,53,3,32,353,6,0
320.5,5,0,39,0,17,0,1,77,0,53,238,16,0
330.5,3,5,44,0,23,0,4,123,5,82,273,3,0
340.5,6,2,58,0,17,0,0,123,3,46,234,0,0
350.5,1,1,59,0,7,0,1,76,2,70,189,1,0
360.5,8,2,72,0,11,0,3,109,5,78,305,2,0
370.5,0,0,65,1,6,0,1,77,9,43,261,13,0
380.5,4,4,97,0,24,2,3,90,10,66,349,7,1
390.5,18,2,125,0,25,4,1,194,28,130,458,16,0
400.5,0,0,26,0,12,0,2,48,14,37,255,4,0
410.5,3,2,34,0,11,1,2,48,5,35,260,2,2
420.5,7,0,45,1,15,2,8,85,3,67,337,20,0
430.5,3,1,61,0,5,0,0,62,2,31,193,1,2
440.5,8,0,40,0,3,0,7,32,4,28,243,7,4
450.5,3,0,90,1,3,0,3,26,3,39,157,10,3
460.5,5,1,149,0,0,0,5,19,7,57,106,27,13
470.5,1,0,47,1,2,1,2,23,10,64,128,22,39
478.5,8,1,63,0,10,1,6,18,15,74,110,41,67
480.5,1,0,94,1,2,0,0,10,17,93,214,163,33
485.5,0,0,50,0,3,0,0,6,22,35,133,129,2
490.5,0,1,47,0,12,0,0,26,18,52,188,105,1
500.5,1,0,25,1,1,1,0,3,17,71,121,177,0
510.5,3,1,28,0,1,1,0,9,2,46,95,166,4
520.5,13,0,13,0,0,0,0,14,13,32,75,144,1
527.5,0,0,18,0,0,1,0,8,3,77,66,146,0
530.5,4,0,29,1,0,0,1,13,4,96,126,171,3
540.5,0,0,20,1,1,1,0,4,2,103,128,32,5
550.5,0,0,1,0,0,0,0,2,2,16,21,5,0
555.5,0,0,2,0,0,0,0,1,0,14,20,1,0
