"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.hardwood","Pine","Spruce"
1,0,5,41,1,7,5,1,138,16,406,5
2,3,5,28,1,6,0,4,103,14,318,0
4,5,5,38,0,7,6,1,99,14,301,6
6,2,7,53,3,17,6,3,102,12,353,4
8,1,5,32,0,12,4,4,77,16,308,8
10,2,6,41,3,14,4,2,64,20,278,4
12,1,11,45,3,20,7,1,66,24,337,5
14,2,10,53,1,11,5,3,80,8,365,8
16,1,9,43,1,32,2,2,88,24,343,4
18,2,5,32,3,12,3,7,105,23,299,3
20,1,11,36,3,16,4,4,104,14,338,3
22,7,11,26,2,18,3,2,71,17,443,2
24,3,11,27,1,10,7,6,70,16,381,5
26,4,11,30,2,7,5,2,83,19,310,7
28,3,4,31,5,19,11,7,85,19,407,4
30,2,11,33,1,28,6,1,84,13,323,4
32,2,12,37,1,12,4,2,82,11,337,3
36,0,9,28,2,21,7,2,93,16,334,1
40,1,15,44,0,17,3,3,106,12,300,5
44,3,11,42,2,18,4,4,91,8,276,0
48,3,14,38,1,21,8,4,101,18,285,2
52,5,11,34,5,21,7,1,123,13,296,2
56,1,16,31,1,25,5,5,88,13,345,2
60,3,19,47,1,30,5,4,105,7,289,2
64,2,4,46,1,14,4,5,96,19,361,4
68,2,9,36,2,18,6,2,88,6,328,1
72,0,9,39,1,25,6,6,104,12,255,0
76,2,11,24,0,19,11,1,120,10,306,1
80,2,10,28,1,18,12,6,126,20,301,1
84,3,11,41,0,28,5,3,142,13,322,2
88,2,16,27,0,20,11,4,119,16,257,2
92,2,20,56,0,19,9,5,111,16,273,2
96,1,12,52,1,21,5,7,112,13,281,3
100,1,16,45,3,16,7,5,100,17,267,0
104,1,11,51,0,19,10,5,118,13,343,1
108,4,35,37,0,20,6,6,129,8,297,3
112,1,21,42,1,24,2,1,108,13,304,3
116,2,21,45,0,26,5,5,124,16,322,1
120,4,31,53,1,25,8,1,133,19,327,2
128,3,21,51,1,21,8,2,116,17,255,1
136,0,14,38,0,23,16,4,184,20,304,2
144,3,23,40,2,12,4,5,119,6,312,2
152,4,23,27,1,5,15,2,135,15,314,0
160,1,14,34,0,5,4,1,110,24,295,1
