"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
1,9,20,107,3,21,1,15,176,0,15,75,0,0
3,6,13,129,6,17,5,9,153,0,20,75,0,0
5,12,11,100,6,19,2,13,162,1,23,74,2,0
7,3,7,103,4,9,6,13,201,0,30,63,3,0
9,6,7,121,4,15,2,7,180,0,13,66,1,0
11,4,9,107,5,15,3,18,162,0,26,67,3,0
13,9,20,124,7,20,5,6,131,1,24,79,2,0
15,6,9,112,6,18,3,4,121,0,16,86,4,0
17,4,18,91,9,24,6,12,127,0,23,81,5,0
19,11,24,103,10,25,2,6,102,0,12,103,4,0
21,5,20,93,14,31,1,9,92,1,14,113,5,0
23,3,23,104,11,27,4,16,76,0,34,102,2,0
25,8,24,111,4,35,6,3,106,0,17,132,5,0
27,2,28,112,10,30,4,10,100,0,6,101,5,0
29,4,8,104,14,34,7,8,103,0,32,92,4,0
31,9,22,105,18,31,2,7,111,1,19,96,3,1
33,2,32,120,15,29,7,7,117,0,23,113,4,0
35,7,27,99,23,22,5,9,111,1,19,102,4,0
37,7,39,111,6,30,2,9,119,0,15,104,2,0
39,11,46,125,20,34,2,7,92,0,14,95,6,0
41,7,43,113,11,40,5,9,118,0,16,114,4,0
43,11,37,108,23,33,9,13,94,2,15,90,5,0
45,14,37,99,14,48,3,3,105,2,21,105,1,0
47,6,39,113,20,40,3,16,85,0,15,114,3,0
49,4,54,110,20,52,4,10,103,0,14,110,1,0
51,7,64,118,23,34,4,8,100,2,16,101,3,0
55,8,53,113,16,43,10,11,83,0,16,84,3,0
57,19,50,97,9,54,5,10,109,0,21,94,3,0
59,13,61,120,13,34,6,13,86,0,19,88,4,0
61,14,61,126,9,41,2,12,93,1,9,105,7,0
63,8,59,114,13,41,10,4,116,0,12,81,3,0
65,5,43,99,9,61,7,14,110,0,17,122,3,0
67,12,73,125,21,59,4,13,100,0,9,106,4,0
69,7,58,128,6,54,1,8,110,0,19,93,3,0
71,11,59,114,9,38,5,13,95,0,17,92,2,0
73,7,73,98,1,62,5,12,84,1,4,111,2,0
75,9,68,101,16,35,2,11,103,0,11,113,5,0
77,7,56,119,12,57,7,7,112,1,9,82,1,0
79,13,51,128,22,48,1,10,89,2,9,99,3,0
81,8,47,120,6,47,2,9,101,0,11,108,4,0
83,7,55,129,17,59,2,11,91,0,10,93,2,0
85,8,57,124,5,45,7,12,98,0,9,111,5,0
87,9,48,113,11,50,5,15,87,0,16,103,3,0
89,8,62,95,15,50,11,12,113,0,13,100,1,0
91,11,45,107,13,46,1,12,86,1,12,123,4,0
102.5,4,103,111,3,152,5,8,87,0,9,55,1.5,0
104.5,5,96,105,6,143,2,9,90,2,8,68,1.5,0
106.5,14,97,106,8,157,2,13,78,0,14,68,0,0
108.5,6,104,108,6,133,2,7,71,1,18,79,2.5,0
110.5,9,97,119,9,116,2,11,79,1,18,103.5,1,0
112.5,10,67,124,7,105,5,14,103,0,21,68,0,0
114.5,8,71,116,2,117,7,17,111,0,12,67,2.5,0
116.5,6,63,129,8,105,5,18,109,0,8,61,0,0
118.5,7,85,90,5,96,6,11,110,0,11,92,2,0
120.5,9,54,112,5,104,8,14,117,2,12,75,2,0
122.5,7,72,115,3,130,3,12,81,0,11,91,2,0
124.5,9,68,93,6,133,3,24,103,0,11,80,2,0
126.5,7,65,131,8,123,5,16,105,0,8,74,0,0
128.5,11,94,130,8,87,13,19,79,1,17,75,1,0
130.5,15,76,116,3,81,6,13,104,1,13,91,2,0
132.5,8,81,116,3,86,2,15,117,0,16,93,1,0
134.5,10,81,89,5,111,2,12,110,0,15,88,2,0
136.5,14,82,116,3,108,12,14,90,0,15,84,0,0
138.5,10,79,87,3,113,6,13,102,0,19,82,0,0
140.5,14,100,82,4,93,6,19,90,0,15,108,1,0
142.5,5,113,65,5,132,5,11,98,1,17,91,1,0
144.5,20,110,57,3,113,8,11,109,0,18,92,1,0
146.5,17,97,68,5,108,5,8,96,0,18,125,0,0
148.5,7,92,71,5,102,5,22,123,0,17,93,0,0
