"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
0,7,5,234,0,129,0,3,57,0.5,9,38,1
0.5,1,0,342,0,51,1,3,47,0,2,60.5,0
2,6,5,168,0,165,0,3,82,0,3,78.5,0
3.5,21,1,118,0,250,0,2,56,0,3,59,2
4.5,7,4,201,0,98,2,5,56,0,1,99.5,0
5.5,18,7,190,0,190,2,6,46,0,8,66.5,0
6.5,10,4,189,0,121,1,7,52,0,3,88,0
7,13,4,294,6,84,2,5,33,0,5,40,0
8,4,4,240,48,125,5,7,59,0,10,33,0
9,4,8,191,76,122,1,11,44,0,16,36.5,0.5
10,5,9,171,47,145,4,7,61,0,18,39,1
11,5,4,132,143,83,3,13,53,0,6,45.5,0
12,1,2,80,308,33,3,2,29,0,6,40.5,0
13,0,2,45,394,33,0,5,23,0,0,36.5,0.5
14,1,2,91,200,59,2,1,35,0,8,134,0
15.5,7,1,234,183,13,3,11,49,0,11,17,0.5
16,0,2,56,152,82,4,4,41,0,13,154.5,0.5
17,0,0,26,18,74,2,3,93,0,3,273.5,0
18,0,2,22,3,31,1,1,89,0,2,405,0
19,3,9,83,24,49,1,4,126,0,9,193,0.5
20,1,4,93,39,51,0,3,125,0,3,200,1.5
