"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
1,21,122,0,51,3,16,123,0,15,145,5
3,43,120,4,54,6,13,107,2,15,137,17
5,51,128,2,46,7,24,102,0,20,116,8
7,55,135,8,82,7,17,92,2,21,116,17
9,66,131,2,82,3,11,83,1,15,117,16
11,60,109,3,94,2,14,85,1,23,97,14
13,63,118,10,90,4,12,76,2,10,109,16
15,69,126,5,43,2,13,94,1,19,93,16
17,54,116,9,62,5,16,93,3,27,118,18
19,41,129,10,54,2,34,97,0,21,125,5
21,40,118,10,59,3,11,98,0,26,121,8
23,62,133,6,66,5,15,84,0,22,112,15
25,37,122,2,64,11,17,98,0,25,106,16
27,50,134,12,45,5,21,83,0,24,119,13
29,54,127,8,71,3,10,106,1,19,107,15
31,40,109,10,66,2,13,99,0,17,129,13
33,41,139,2,97,7,14,89,2,18,127,19
35,51,140,7,75,2,17,120,0,18,60,12
37,61,123,5,97,5,19,85,0,13,71,9
39,82,101,5,125,2,19,82,0,23,59,17
41,93,101,3,125,6,23,90,0,16,40,6
43,108,100,7,129,3,16,71,0,14,41,22
45,87,117,8,123,6,21,87,1,16,52,9
47,109,120,8,135,6,18,80,0,15,46,21
49,119,110,6,139,9,14,76,0,17,38,7
51,117,81,3,159,4,21,75,0,11,43,9
53,114,108,4,158,6,12,72,1,16,39,5
55,94,78,3,157,5,22,81,0,10,43,2
57,112,78,8,138,7,17,85,0,22,26,3
59,105,88,4,150,6,21,78,0,22,41,3
61,117,85,0,138,3,30,85,0,16,32,5
63,105,96,2,149,4,20,84,0,17,54,3
65,121,75,5,146,4,15,73,1,22,57,7
67,84,85,1,175,7,17,83,0,18,52,5
69,83,98,5,148,3,19,84,0,12,53,8
71,88,75,2,158,0,19,82,0,9,73,2
73,106,91,4,182,7,16,76,0,20,47,10
75,118,88,2,162,5,16,63,0,19,42,4
77,116,86,5,139,4,21,94,0,16,36,4
79,107,58,0,174,2,18,74,0,13,40,3
81,105,54,3,176,4,23,86,1,14,40,11
83,130,62,3,170,9,15,82,0,12,52,2
85,126,50,4,182,6,19,67,0,16,52,4
87,140,60,3,146,3,15,94,2,15,39,5
89,110,78,2,135,9,26,85,1,19,39,2
91,126,76,0,118,6,23,93,0,25,44,4
93,120,85,3,132,10,16,84,1,16,53,2
95,113,68,10,135,3,18,81,1,15,62,2
97,131,76,4,151,4,13,64,3,17,57,2
99,114,56,3,144,4,25,99,0,14,41,2
