"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,1,1,102,0,16,2,2,6,7.5,62,44.5,34.5,1
0.5,4,1,74,0,7,0,3,2,20,100,48.5,47,1
1,9,1,60,0,3,0,1,5,15,66,12.5,34.5,1
1.5,1,4,73,0,12,0,1,1,1.5,94,20.5,65,0
2,0,0,80,0,4,1,2,2,23.5,87,19.5,56,1
2.5,0,0,113,0,4,0,1,13,14.5,119,13.5,37.5,0
3,1,4,80,0,17,0,1,1,14,55,34,86,0
3.5,2,2,64,0,24,0,2,1,23.5,34,33,73.5,1
4,2,1,84,0,7,0,2,2,19.5,69,32.5,70,1
4.5,0,1,85,0,11,0,0,9,16,59,34,61.5,0
5,0,2,108,0,17,0,1,0,24,35,32,69,0
6,6,0,73,0,33,1,0,2,16.5,35,38,77.5,0
7,1,1,82,0,36,0,1,7,23.5,31,39,58.5,2
8,0,1,72,0,34,0,2,1,12.5,20,27,121,0
9,2,1,85,0,18,0,0,3,6.5,24,70.5,76.5,0
10,2,3,99,2,18,0,1,3,7,12,27,95,0
11.5,0,4,91,0,35,0,4,7,26,22,32,63.5,1
13,0,3,105,0,54,0,1,4,46,24,28.5,46.5,1
15,1,8,74,0,42,0,0,1,17,24,74,67,0
16.5,4,1,107,0,47,0,0,7,29,12,30,66,0
18,1,9,140,0,65,0,0,4,34,9,22,40,2
20,1,4,146,0,50,0,0,3,26,24,41.5,31,0
21.5,1,10,180,0,71,0,0,5,34.5,18,46,29.5,1
23,0,15,214,0,95,0,0,3,31.5,21,50.5,28.5,0
25,2,13,200,0,56,0,2,3,12.5,24,55.5,37.5,0
26.5,0,14,163,1,62,3,0,3,33.5,11,43,16,0
28,0,24,205,0,90,1,0,0,47.5,17,83.5,22,0
30,5,6,176,0,31,0,0,1,5.5,21,42.5,16,0
31.5,0,7,196,0,62,0,1,4,15.5,15,35.5,21.5,1
33,1,16,163,0,51,0,2,3,22,8,63.5,8.5,0
35,6,13,174,0,31,0,1,0,16.5,12,57.5,9.5,0
40,4,14,121,0,61,1,0,5,12.5,7,53,10.5,3
45,4,17,123,0,66,1,1,6,25.5,21,41.5,18,2
50,0,26,57,0,75,0,0,0,16.5,7,97.5,22.5,3
60,2,12,75,1,76,1,1,0,20.5,12,73,14,2
75,1,19,121,0,80,0,0,3,22.5,6,63,6.5,0
85,4,18,93,0,40,0,1,3,7.5,7,131.5,3.5,0
93,0,4,33,0,11,0,0,0,2,4,35,1,0
