"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Other.hardwood","Pine","Spruce","Tamarack"
10,69,0,0,6,0,36,3,18,0,0
25,85,0,0,0,0,36,0,6,0,0
35,52,0,0,0,0,14,4,38,0,0
45,27,0,0,24,0,24,0,81,0,0
55,30,2,0,15,5,7,3,109,0,1
65,32,4,0,18,0,16,2,80,1,0
75,61,0,0,28,4,28,8,48,2,0
85,67,2,0,39,1,31,12,29,0,0
95,29,1,2,22,0,44,1,26,0,0
105,36,3,3,14,3,29,1,117,8,0
115,42,0,0,20,0,20,1,54,15,0
125,19,0,0,0,0,0,0,13,107,0
135,33,0,0,1,0,13,17,14,65,0
145,31,0,0,0,0,0,42,8,42,0
155,16,0,0,0,0,5,25,16,102,0
165,14,0,0,0,0,3,15,7,105,0
175,0,0,0,0,0,0,0,1,0,0
