"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,0,8,48,0,21,7,2,52,0,16,42,2,0
40,0,24,18,0,70,5,0,43,0,12,117,1,0
80,0,7,12,0,78,1,2,37,1,5,179,2,0
120,0,20,20,1,81,6,1,42,0,10,145,3,0
160,0,38,28,0,137,10,0,62,0,11,79,0,0
200,0,20,29,0,91,1,0,39,0,11,169,0,0
240,0,23,28,0,58,3,0,51,0,7,137,0,0
280,0,22,38,0,100,3,1,68,0,10,122,0,0
320,0,20,16,0,77,11,1,48,0,7,140,0,0
360,0,32,26,1,39,15,0,118,0,12,94,1,0
400,0,39,40,1,20,16,1,129,0,14,99,0,0
440,0,27,19,0,13,19,2,132,0,19,113,0,1
480,0,21,18,0,30,12,0,93,0,11,150,0,1
500,0,48,35,0,45,16,0,101,0,20,60,0,0
520,1,38,17,1,135,8,0,71,0,10,72,0,0
540,0,32,6,0,137,13,1,91,0,24,41,0,0
560,0,42,18,0,150,8,0,115,0,26,33,1,0
580,0,43,18,1,72,11,0,93,0,24,70,0,0
600,0,35,10,0,110,4,1,90,0,18,29,0,0
620,0,65,25,1,83,9,0,202,0,25,16,0,0
640,0,51,16,0,61,8,2,188,0,25,27,0,0
660,0,30,24,0,120,10,0,127,0,24,26,0,0
680,0,62,27,0,103,7,1,133,0,27,64,0,0
700,0,29,19,0,88,4,0,149,0,22,68,0,0
720,0,12,11,0,65,2,1,161,0,21,80,1,0
740,0,14,13,0,57,1,0,155,0,14,110,3,0
760,0,6,7,0,53,1,0,134,0,12,133,7,0
780,0,22,14,0,98,10,0,99,1,13,120,3,2
800,0,5,20,0,37,0,0,97,1,14,147,18,1
820,0,3,9,0,50,0,0,98,6,20,136,11,0
840,0,1,15,0,50,0,0,136,4,11,156,16,3
860,1,0,14,0,57,1,0,147,1,24,193,7,1
880,1,2,11,0,71,2,0,121,0,29,153,4,0
900,0,1,7,0,93,0,0,130,2,30,198,2,2
920,0,4,14,0,40,1,1,142,0,29,189,3,0
940,0,3,11,0,16,0,0,115,0,31,214,2,0
960,0,0,6,0,56,1,0,54,2,8,251,1,0
980,0,0,6,0,39,1,0,53,2,17,242,1,0
1000,0,0,32,0,16,0,0,28,35,11,365,26,12
1020,0,2,38,0,5,0,0,7,8,22,157,90,8
1040,0,0,8,0,3,0,0,9,14,9,237,64,0
1060,1,4,2,0,0,0,0,16,9,21,297,40,0
1080,0,1,1,0,5,0,0,11,8,11,304,49,0
1100,0,0,7,0,1,0,0,23,15,22,154,122,0
1120,0,1,8,0,0,0,0,23,0,28,52,335,1
1140,0,0,13,0,0,0,0,7,5,14,89,85,0
1160,0,0,0,0,0,0,0,10,2,6,107,64,1
