"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
10,10,3,47,3,10,6,7,141,0,13,8,1,0
20,7,5,61,1,7,6,4,174,0,13,12,0,0
25,8,5,38,0,1,7,2,170,0,8,11,0,0
30,6,5,51,2,7,12,3,157,0,21,15,0,0
35,2,6,46,4,9,11,2,173,0,24,16,1,0
40,8,3,35,2,6,6,6,132,0,17,15,0,0
45,7,9,50,13,16,9,2,147,0,18,22,1,0
50,11,14,33,1,22,1,1,159,0,13,24,1,0
55,10,16,36,15,13,9,3,167,0,14,21,0,0
60,11,15,36,6,16,11,3,203,0,13,25,1,0
65,2,11,37,8,17,10,3,182,0,11,33,0,0
70,4,21,38,3,9,9,5,212,0,9,23,0,0
75,10,19,39,13,15,17,7,184,0,24,15,1,0
80,4,12,36,12,9,19,3,191,0,17,8,0,0
85,6,13,42,17,13,14,6,184,0,13,21,0,0
90,10,15,47,7,17,30,5,191,0,14,15,0,0
95,7,11,36,5,13,20,3,173,0,19,25,0,0
100,7,7,46,11,28,28,5,192,0,19,23,1,0
105,5,14,37,11,13,15,1,184,0,10,22,0,0
110,10,13,35,7,20,28,2,164,0,14,20,1,0
115,5,13,39,7,10,11,2,195,0,12,20,0,0
120,6,11,34,11,13,16,5,166,0,20,15,0,0
125,7,12,35,2,13,22,3,194,0,14,15,1,0
130,6,17,32,7,23,26,2,180,0,15,14,0,0
135,11,12,38,9,10,19,12,172,0,18,14,0,0
140,5,24,44,6,13,12,5,187,0,18,16,0,0
145,7,18,34,9,7,22,1,203,0,13,13,0,0
150,7,16,27,9,9,13,4,204,0,19,19,0,0
155,7,20,35,5,5,17,4,206,0,26,21,0,0
160,10,6,33,11,5,22,10,194,0,16,16,0,0
165,8,20,43,4,7,17,5,202,0,15,18,0,0
170,10,9,26,12,13,25,3,188,0,22,24,0,0
175,4,16,33,4,10,20,2,184,0,13,23,0,0
180,3,16,36,4,6,21,2,163,0,15,25,0,0
205,7,17,25,5,9,19,2,212,0,16,16,0,0
210,11,18,27,0,6,30,4,191,0,7,14,0,0
215,11,33,34,8,2,23,3,166,0,21,25,0,0
220,4,8,38,7,6,28,2,167,0,19,24,0,0
225,8,16,27,4,10,30,0,165,0,14,25,0,0
230,9,27,40,4,8,34,8,159,0,34,19,0,0
235,7,9,29,4,4,22,4,163,0,24,23,0,0
240,9,11,29,8,5,18,5,178,0,16,24,0,0
245,8,25,42,0,7,24,4,169,0,20,23,0,0
250,15,18,41,5,2,24,9,192,0,22,18,0,0
255,5,20,31,2,3,21,4,186,0,22,15,0,0
260,6,18,46,11,2,36,3,164,0,15,27,1,0
265,5,22,50,1,3,18,4,161,0,20,21,0,0
270,12,16,44,10,1,6,3,207,0,31,19,0,0
275,7,12,22,3,0,19,3,201,0,15,17,0,0
280,8,10,30,4,2,45,4,188,0,19,24,0,0
285,8,15,26,0,9,27,2,177,0,28,14,0,0
290,2,10,32,11,5,23,2,170,0,27,14,1,0
305,10,14,16,0,32,27,3,181,0,30,11,0,0
310,13,14,14,0,25,29,3,185,0,21,17,0,0
315,5,15,9,1,38,26,2,189,0,27,16,0,0
320,7,22,18,0,30,30,3,158,0,19,17,0,0
325,20,14,20,0,23,14,4,206,0,25,8,0,0
330,14,13,8,0,26,15,2,194,0,22,12,0,0
335,8,18,17,0,26,14,6,186,0,24,7,0,0
340,7,18,16,0,15,5,2,221,0,24,8,0,0
345,7,15,13,2,24,27,5,203,0,20,8,0,0
350,2,24,12,0,26,17,6,176,0,22,13,0,0
355,8,21,9,0,22,16,5,227,0,21,12,0,0
360,10,10,15,0,26,12,4,195,0,31,15,0,0
365,4,14,7,1,21,18,5,203,0,17,9,0,0
370,8,21,8,0,35,20,4,183,0,36,11,1,0
375,7,17,10,1,24,16,3,187,0,26,18,0,0
380,10,14,7,2,20,12,2,187,0,27,11,0,1
385,7,10,19,0,36,13,1,169,0,25,12,0,0
390,7,13,11,0,31,16,2,190,0,24,13,0,0
405,6,22,13,0,21,4,2,193,0,25,13,0,0
410,11,18,18,0,24,14,3,231,0,37,10,0,0
415,9,20,5,2,24,7,9,180,0,31,20,0,0
420,5,12,7,0,28,16,4,204,0,31,13,0,0
425,6,21,10,2,27,12,3,187,0,20,12,0,0
430,9,14,11,0,25,15,4,174,0,47,6,0,0
435,11,25,8,0,22,10,1,194,0,28,12,0,0
440,11,28,15,0,39,17,3,181,0,26,6,0,0
445,2,24,11,0,24,8,2,213,0,14,13,0,0
450,11,33,13,1,25,5,0,183,0,27,9,0,0
455,6,19,12,0,27,10,2,194,0,26,8,0,0
460,9,42,16,0,22,11,4,177,0,19,12,0,0
465,10,39,14,0,21,13,4,193,0,21,10,0,0
470,8,23,18,0,19,12,9,208,0,17,14,0,0
475,10,28,13,1,27,8,1,189,0,19,14,0,0
480,9,35,22,0,35,16,5,222,0,20,15,0,0
485,11,37,14,0,28,6,3,181,0,34,13,0,0
490,10,13,3,0,17,4,6,209,0,31,9,0,0
505,7,27,7,2,19,5,3,210,0,36,9,0,0
