"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
10,11,1,37,1,2,6,0,163,0,29,16,0,0
20,1,2,58,2,10,7,2,112,0,39,14,0,1
30,3,3,34,11,18,9,3,134,0,45,25,0,0
40,2,8,41,19,29,10,4,115,0,40,29,2,0
50,3,4,32,2,43,12,2,165,0,30,44,1,1
60,1,5,28,4,16,11,0,150,0,18,31,0,0
70,0,11,43,8,30,34,0,177,0,24,26,0,1
80,0,9,37,5,40,28,4,184,0,15,26,0,0
90,0,11,29,8,12,13,5,199,0,26,11,0,0
100,1,5,43,11,5,6,3,200,0,24,9,0,0
110,3,12,40,22,14,22,7,201,0,31,20,0,0
120,0,19,31,15,19,28,3,155,0,21,30,1,0
130,6,11,33,10,8,18,4,204,0,21,14,0,0
140,5,4,26,8,8,19,0,138,0,23,25,0,0
150,10,10,31,14,4,19,4,214,0,22,22,0,0
160,6,17,47,7,9,28,3,202,0,30,21,1,0
170,3,11,29,3,14,18,7,193,0,20,22,0,0
180,1,5,38,4,18,24,0,189,0,26,24,0,0
190,10,14,24,10,10,11,8,213,0,32,18,0,0
200,9,19,32,7,16,19,7,197,0,35,22,0,0
205,7,17,48,14,17,18,3,186,0,33,28,0,0
210,10,26,27,17,5,8,6,189,0,35,11,0,0
215,5,13,20,19,15,8,5,150,0,38,22,0,1
220,4,10,43,17,18,21,4,142,0,28,21,0,0
225,6,9,35,11,12,11,6,162,0,32,36,0,0
230,5,18,28,22,7,13,8,173,0,49,20,0,1
235,11,13,27,11,18,23,4,163,0,28,28,0,2
240,10,14,30,18,1,9,5,182,0,31,13,0,1
245,3,19,29,5,12,27,2,187,0,17,26,0,0
250,9,14,28,28,5,13,1,175,0,37,16,0,0
255,2,6,24,6,20,27,3,179,0,17,25,0,0
260,3,14,30,14,7,23,5,187,0,48,15,0,0
265,12,8,42,20,4,3,6,185,0,42,11,0,0
270,3,11,27,26,8,24,7,152,0,53,15,0,0
