"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
5,6,13,31,6,22,16,9,148,0,25,38,6,0
11,3,0,27,9,18,12,2,92,0,24,32,4,1
17,9,3,22,22,22,8,10,71,0,27,29,2,0
23,7,5,30,20,16,9,5,90,0,25,37,6,1
29,2,5,32,33,19,10,4,75,0,24,31,1,0
35,10,1,26,11,7,5,4,89,0,31,30,1,0
41,8,4,34,8,5,15,6,70,0,31,28,2,0
46,4,13,42,46,23,12,8,161,0,65,50,2,0
53,13,6,58,7,13,11,5,98,0,32,25,3,0
59,5,12,27,19,22,7,1,109,0,17,35,0,0
65,3,10,31,12,14,9,9,142,0,30,24,0,0
67,2,10,32,10,22,10,8,130,0,27,27,4,0
69,14,15,56,14,18,25,5,215,0,41,66,1,0
72,4,9,29,14,23,18,7,170,0,33,32,0,0
75,6,7,33,15,28,6,13,160,0,25,33,1,0
83,7,8,36,16,36,13,6,161,0,25,28,1,1
91,8,12,37,16,15,16,11,173,1,23,30,2,2
99,3,14,41,17,22,15,6,147,0,17,16,0,0
