"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
100,8,27,0,1,9,4,118,0,7,8,0
105,2,9,1,1,10,4,180,0,10,14,0
110,9,5,6,3,11,2,183,0,15,13,0
115,4,7,5,1,13,0,180,0,16,16,0
120,4,7,0,0,17,1,210,0,10,9,1
125,6,5,0,3,13,2,216,0,16,14,0
130,5,6,0,3,9,5,222,0,11,8,0
135,3,6,1,3,8,4,222,0,6,10,0
140,8,5,2,4,13,2,201,0,13,17,0
145,4,4,0,3,2,0,232,0,13,10,0
150,0,1,1,2,1,0,219,0,5,11,1
155,0,7,1,3,1,1,214,2,6,18,0
165,2,17,0,2,1,0,185,1,4,20,5
175,1,32,0,4,1,0,142,2,9,46,10
180,0,49,0,7,0,0,99,6,4,47,22
185,2,69,0,0,0,0,35,6,15,55,49
195,0,48,0,1,1,0,38,5,15,50,41
200,1,63,0,0,0,0,17,0,13,30,56
210,0,45,0,0,0,0,15,0,14,36,79
220,0,61,0,0,1,0,10,0,9,38,57
230,0,52,0,0,0,0,12,0,4,39,93
240,0,58,0,0,2,0,5,0,5,40,91
245,0,55,0,0,0,0,3,0,8,45,95
250,0,96,0,0,0,0,12,0,4,43,59
