"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
10,7,0,13,0,0,4,0,72,0,8,10,10,0
20,1,1,32,0,3,7,3,83,0,1,11,15,0
30,0,1,30,0,3,6,1,67,0,1,10,7,4
40,2,0,46,0,4,10,0,46,0,1,4,7,3
50,5,0,18,7,3,0,4,57,0,1,7,11,3
60,0,4,24,7,18,2,0,72,0,3,11,25,2
70,0,12,17,7,14,6,0,66,0,0,6,22,1
80,0,11,24,0,21,7,2,62,0,2,10,13,0
90,0,6,18,1,28,3,26,53,0,0,29,9,0
100,13,3,15,5,21,8,30,62,0,0,17,10,0
110,15,13,20,1,18,13,12,63,0,0,26,9,4
120,0,26,37,0,16,8,2,102,0,8,13,19,0
130,9,12,34,3,15,6,3,97,0,11,9,23,0
140,17,12,23,8,16,7,0,73,0,4,8,14,3
150,15,10,26,2,14,2,0,78,0,5,0,26,0
160,6,23,17,1,12,7,1,76,0,8,1,29,0
170,12,5,20,0,21,8,0,75,1,13,23,20,0
180,30,0,24,0,15,6,3,70,4,7,13,15,0
190,12,2,68,2,8,13,5,36,5,8,15,16,0
200,7,9,18,0,18,22,6,67,0,0,29,18,0
210,49,6,42,0,20,15,3,30,1,16,25,19,0
220,41,4,25,0,10,9,0,24,0,27,32,7,0
230,40,3,34,0,18,9,11,46,1,13,42,13,0
240,55,6,23,3,17,8,1,45,0,3,12,21,0
250,43,5,21,0,29,12,0,56,0,8,22,14,0
260,46,2,21,0,29,11,0,46,0,8,41,9,0
270,35,11,26,1,27,9,0,74,0,0,25,7,0
280,51,6,25,0,18,18,0,40,0,14,24,8,0
290,76,5,29,1,18,12,0,35,0,3,40,7,0
300,15,9,18,0,23,17,0,78,0,0,17,18,0
340,67,6,24,0,20,12,0,26,0,9,36,8,0
360,6,9,20,0,6,9,0,122,6,16,32,5,0
380,7,3,26,0,5,7,4,107,0,11,50,1,0
400,8,16,10,0,4,14,2,121,0,21,38,0,0
420,8,8,24,1,1,3,0,115,1,12,24,5,0
440,14,16,20,0,0,8,4,116,0,11,41,3,0
460,9,13,23,2,0,7,3,112,0,19,22,3,0
480,7,15,25,0,5,12,3,127,2,16,28,11,0
500,2,12,19,7,6,11,1,133,0,9,13,1,0
520,7,9,27,6,19,7,5,141,0,11,11,1,0
540,5,8,10,4,48,15,4,111,0,13,13,0,0
560,4,8,8,0,37,8,1,135,0,8,2,0,0
580,11,14,11,3,38,10,0,139,0,15,7,0,0
600,5,10,16,0,36,2,7,107,0,8,6,0,0
620,6,12,20,0,41,4,8,120,0,13,4,0,0
640,8,22,12,0,27,4,2,110,0,18,13,0,0
660,4,9,13,0,18,2,1,125,0,12,10,0,0
680,10,10,14,0,33,1,4,109,0,11,9,0,0
700,8,15,25,0,27,1,7,115,0,14,11,0,0
720,7,6,18,0,26,1,4,110,0,1,16,0,0
740,3,9,19,0,18,0,4,119,0,7,15,0,0
760,9,3,7,0,18,1,5,127,0,5,22,0,0
780,10,10,20,2,21,0,0,127,0,5,15,0,0
800,7,7,12,0,13,1,2,130,0,9,24,0,0
820,6,4,14,0,12,0,5,131,3,10,30,0,0
840,5,1,10,0,11,2,3,132,3,19,40,0,0
860,8,5,11,0,13,0,0,132,6,9,51,7,0
880,6,3,12,0,10,0,1,99,2,10,58,6,0
900,4,6,11,0,13,0,1,100,8,8,64,3,0
920,8,5,9,0,15,0,2,106,0,16,65,2,0
940,9,3,15,0,30,0,1,56,7,5,95,4,0
960,8,0,4,0,60,0,6,71,0,9,98,10,0
980,7,6,18,0,13,0,1,93,0,10,104,12,0
1000,6,13,8,0,13,0,2,47,1,7,145,7,0
1020,4,0,10,0,3,1,5,35,0,5,160,12,0
1040,6,0,47,0,7,1,3,16,0,11,153,18,0
1060,3,0,90,0,10,0,0,8,0,32,82,45,0
