"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
20,6,41,1,6,7,4,73,0,16,24,4,1
40,3,19,13,4,5,2,57,0,9,15,9,5
60,4,29,14,6,4,1,58,0,5,25,5,4
80,9,23,6,14,8,2,79,0,11,55,12,1
100,9,32,0,49,5,4,60,0,6,72,7,4
120,11,22,7,24,10,1,103,0,9,52,5,0
136,12,25,5,26,11,1,153,0,18,32,1,0
155,20,20,7,21,11,2,155,0,9,37,3,1
175,15,33,5,22,17,3,132,0,8,34,5,0
195,9,29,6,13,10,1,124,0,7,45,0,3
215,15,29,5,18,10,3,114,0,4,50,2,4
220,5,31,11,19,8,2,105,0,13,45,0,0
240,15,32,9,17,8,2,104,0,6,43,2,1
260,15,25,7,24,6,5,129,0,2,42,2,0
280,10,36,4,23,8,2,107,0,11,53,3,0
295,20,22,4,28,7,1,132,0,10,39,0,1
320,13,36,9,21,6,4,117,0,8,37,3,0
340,7,15,13,16,11,1,129,0,3,41,2,2
360,9,22,9,7,14,1,126,0,15,65,1,1
380,10,26,9,11,10,1,124,0,7,45,2,0
395,5,14,9,4,16,2,147,0,18,46,5,0
420,8,14,4,4,9,3,153,0,14,39,3,1
430,9,17,6,1,19,2,163,0,12,39,2,1
440,11,14,0,5,4,0,165,0,10,40,0,1
460,21,13,3,2,13,3,170,0,6,37,0,0
470,13,26,7,4,9,5,147,1,13,32,0,0
480,16,24,4,2,9,1,166,0,15,27,0,0
490,19,25,2,5,3,2,161,0,13,25,1,0
498,15,23,4,12,13,0,160,0,16,22,0,0
510,22,20,9,4,9,3,163,0,5,31,0,0
520,29,29,5,14,9,2,144,0,15,18,0,0
530,20,20,11,30,11,1,135,0,15,24,0,0
540,13,14,15,45,15,1,132,0,8,23,0,0
560,16,13,10,31,13,1,150,0,11,18,0,0
570,17,12,5,39,16,4,141,0,9,17,0,0
580,24,12,2,46,10,0,145,0,13,10,0,0
590,24,11,2,41,7,2,158,0,5,17,0,0
598,28,10,3,47,5,0,156,0,8,6,0,0
610,18,11,4,37,4,3,159,0,10,13,0,0
620,33,14,0,36,5,4,139,0,14,11,0,0
640,22,11,0,42,3,1,154,0,16,10,0,0
660,29,12,1,33,2,0,161,0,16,8,0,0
680,27,13,1,24,2,1,181,0,19,10,1,0
690,25,16,1,46,4,3,156,0,13,10,0,0
695,20,14,0,35,6,1,174,0,13,9,0,0
710,25,31,0,21,2,2,155,0,17,9,0,0
720,21,22,0,33,2,0,161,0,10,14,0,0
740,11,16,0,35,0,2,158,0,11,24,1,0
760,13,16,0,29,2,0,178,0,16,15,0,0
780,5,7,2,35,2,1,191,0,15,26,0,0
797,10,9,1,18,1,0,187,0,8,38,0,0
820,3,10,0,22,1,0,183,0,11,28,0,0
840,6,20,1,23,0,1,169,0,12,45,0,0
850,6,7,0,31,1,1,170,0,10,55,0,0
860,3,6,1,15,2,1,151,0,11,74,0,0
870,2,12,0,27,0,1,150,0,11,80,0,0
880,2,14,0,17,0,0,160,0,12,74,0,0
890,3,14,0,21,1,1,153,0,9,82,0,0
898,1,9,0,22,0,0,157,0,14,76,0,0
920,1,10,0,32,0,1,115,0,15,102,1,0
940,0,16,0,28,0,0,116,0,9,100,0,0
960,0,17,0,26,2,0,112,0,15,100,1,0
980,2,10,0,74,0,0,65,0,15,108,1,0
998,0,11,0,68,0,1,73,2,10,124,0,0
1020,0,20,1,30,0,0,103,1,20,191,0,0
1040,0,9,0,13,0,2,68,0,11,174,0,0
1060,1,18,0,2,0,0,52,1,12,207,1,0
1070,0,17,0,3,0,4,52,0,6,227,1,0
1080,0,29,1,4,2,1,54,11,14,188,3,3
1090,1,49,0,3,0,0,49,11,11,149,10,4
1098,0,61,0,5,0,0,45,8,9,114,27,2
1110,0,65,0,5,1,0,46,14,9,113,17,2
1120,0,112,0,5,0,0,39,10,14,85,38,1
1130,0,84,0,2,0,0,38,11,10,115,31,2
1140,0,70,0,3,0,0,37,21,7,114,36,0
1148,1,63,0,2,0,0,42,26,16,98,38,1
1160,1,15,0,0,0,0,37,5,12,152,34,1
1170,0,12,0,1,0,0,44,21,13,152,34,0
1180,1,17,0,0,0,0,50,5,18,176,22,0
1190,3,31,0,0,0,0,31,15,16,106,45,0
1195,2,8,0,0,0,0,36,7,21,163,23,0
1210,3,9,0,1,1,0,32,16,25,153,40,0
1220,1,23,0,0,0,0,28,13,29,115,62,0
1230,0,16,0,0,1,0,30,5,34,51,105,0
1235,0,18,0,0,0,0,37,2,40,57,86,0
1240,0,16,0,0,0,0,1,2,3,90,137,0
1245,1,43,0,0,0,0,5,0,7,81,81,0
1250,1,21,0,0,1,0,10,2,16,90,65,0
1255,0,15,0,0,2,0,5,2,7,90,70,0
1260,0,7,0,0,1,0,1,1,3,134,50,0
1280,1,2,0,0,0,0,2,1,1,143,51,0
1302,0,3,0,0,1,0,3,1,8,129,46,0
1320,0,6,0,0,0,0,0,0,1,162,55,0
1340,0,1,0,0,1,0,3,0,10,139,42,0
1360,0,1,0,0,0,0,0,0,10,202,35,0
