"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
0,1,0,54,0,5,3,3,63,0,22,88,4
10,0,1,33,0,5,1,7,95,0,33,212,1
20,5,2,36,0,5,2,0,54,0,17,120,0
30,1,1,49,0,1,5,2,48,0,25,23,0
40,1,0,41,1,1,2,1,63,0,12,20,3
50,1,2,17,0,2,2,0,116,0,48,19,0
60,0,4,6,0,1,1,3,99,0,40,19,0
70,0,42,22,0,0,2,2,116,0,19,17,0
80,0,12,14,0,1,0,2,99,0,32,23,0
100,0,1,14,0,0,2,0,176,0,12,20,0
120,1,3,24,0,6,3,0,80,0,12,111,0
140,0,0,11,0,7,1,2,67,1,91,117,0
160,0,0,12,0,11,1,0,91,0,12,101,0
180,0,0,4,0,8,1,0,61,0,9,112,0
220,1,0,6,1,11,1,1,103,0,12,127,0
240,0,0,9,0,4,0,1,72,0,17,149,1
260,0,1,10,0,11,0,0,43,0,23,118,0
280,3,1,12,0,16,1,1,173,0,32,104,0
300,3,0,5,0,1,0,1,81,0,47,100,0
320,0,1,8,0,11,1,0,118,0,25,92,0
340,3,1,39,1,7,3,0,168,0,18,136,0
360,0,0,32,1,6,0,0,154,0,11,132,0
380,0,3,52,0,4,1,1,67,0,13,141,0
400,0,0,81,0,2,0,2,44,1,34,134,4
420,2,0,28,0,4,0,0,14,1,33,228,34
440,7,2,10,0,0,0,0,26,0,28,118,49
460,8,0,12,0,0,0,0,22,0,11,152,57
480,0,0,6,0,0,0,0,3,1,12,127,68
500,5,1,15,0,0,0,0,22,0,15,138,63
502,0,0,7,0,0,0,0,4,0,18,100,47
