"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
30,0,0,67,1,1,3,3,23,0,18,12,0
35,1,1,54,3,1,1,1,31,0,27,62,0
40,2,5,54,3,2,6,4,77,0,24,50,0
60,1,0,71,3,0,1,6,59,0,27,64,1
70,1,7,117,5,10,6,5,142,1,44,113,0
90,0,9,86,3,8,5,6,119,0,22,125,1
100,0,6,77,4,3,4,3,96,0,17,65,3
124,2,31,60,1,13,8,9,206,0,25,69,3
141,5,35,56,4,17,20,12,217,0,27,84,0
158,3,21,57,3,15,10,8,196,0,38,68,0
174,5,20,57,4,13,20,12,207,1,52,80,0
191,1,24,43,3,21,9,12,239,0,60,56,1
215,3,28,37,2,10,10,8,177,0,31,38,0
231,4,35,51,8,6,14,6,209,0,84,42,0
247,3,10,45,11,8,3,7,152,0,112,45,2
263,4,16,35,8,6,5,13,164,0,145,65,1
279,4,10,37,3,17,5,6,182,0,173,41,0
295,2,24,24,4,18,2,12,210,0,125,52,0
310,0,21,38,0,8,5,10,161,0,111,32,2
319,1,1,19,1,23,1,4,117,2,42,409,5
335,2,29,29,4,31,2,4,270,0,68,50,0
351,2,17,26,1,24,2,12,221,0,88,49,0
367,1,16,26,4,22,0,8,221,0,71,75,1
395,0,1,25,1,11,0,5,217,0,34,48,4
399,0,4,27,7,23,2,6,140,1,38,140,0
415,2,10,32,5,22,2,9,149,0,34,196,2
431,5,4,41,6,15,0,6,137,3,40,225,3
447,1,3,47,1,17,1,4,122,1,60,171,3
463,1,5,39,1,34,0,12,139,2,63,347,7
479,0,3,34,0,29,0,1,107,0,77,221,0
495,1,8,16,1,15,0,1,120,0,32,317,2
511,3,2,16,0,14,0,2,61,2,10,415,5
527,0,5,25,1,29,0,0,33,2,14,363,5
543,0,6,42,0,25,0,4,109,1,41,257,1
559,3,8,38,0,9,0,3,54,4,22,345,1
575,1,7,29,0,2,2,5,66,3,18,355,5
584,0,0,88,0,5,0,2,44,0,19,262,8
593,0,1,13,0,0,0,0,11,13,18,156,185
623,0,0,67,0,0,2,0,9,21,42,166,193
637,0,0,4,0,0,0,0,5,26,1,146,262
655,0,0,3,0,1,0,0,3,0,31,166,269
671,0,0,9,0,0,0,0,4,6,30,201,210
719,0,0,9,0,0,0,0,19,12,13,188,208
735,0,0,11,0,0,0,0,3,6,8,90,100
751,0,0,6,0,0,0,1,2,3,8,42,132
767,1,0,33,0,0,1,0,13,8,19,155,245
783,1,0,23,0,0,0,0,17,14,22,51,294
799,0,0,9,0,0,0,0,1,9,5,27,289
810,0,0,11,0,0,0,0,9,3,11,29,113
835,2,0,69,0,0,1,1,11,1,47,56,180
853,0,0,40,0,0,0,0,8,2,23,59,46
873,0,0,14,0,0,0,0,1,4,38,110,58
890,1,0,12,0,0,0,0,2,0,27,117,29
