"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
25,0,25,7,8,1,1,11,0,5,17,6,1
80,13,18,1,22,2,2,20,0,4,19,5,0
120,6,16,0,9,0,2,15,0,4,21,8,1
180,7,12,1,5,0,2,41,0,15,9,10,1
200,14,11,0,21,1,3,17,0,3,15,14,0
220,9,9,0,12,3,1,26,0,8,15,13,0
240,0,2,0,12,0,4,5,0,20,4,0,0
280,2,5,0,14,1,11,12,0,28,4,1,0
320,12,11,0,20,1,2,28,0,108,7,0,0
340,4,2,0,7,0,6,7,0,18,5,1,0
360,13,13,0,13,1,3,29,0,69,12,0,0
380,7,4,0,12,0,4,17,0,57,14,1,1
420,17,19,0,21,0,1,45,0,159,33,1,0
440,0,3,0,3,0,1,10,0,48,6,0,0
460,6,3,0,4,0,2,19,0,85,9,1,0
480,2,11,0,13,0,0,22,0,56,15,1,1
520,34,40,0,31,3,4,83,1,113,40,0,0
540,30,35,0,54,1,3,110,0,111,64,0,2
560,25,36,0,59,1,6,101,0,93,63,2,0
580,29,43,0,87,1,5,132,0,42,71,2,0
615,21,71,0,63,3,2,209,0,44,162,2,0
645,2,50,0,52,0,2,107,0,35,150,0,1
675,0,64,3,6,0,8,149,5,61,360,3,1
690,0,123,0,6,1,8,81,8,112,754,27,5
710,0,203,1,7,2,0,84,23,164,592,72,2
740,0,81,1,3,0,0,21,5,73,146,75,9
780,0,51,0,7,0,0,14,6,75,72,300,7
820,0,31,0,0,1,0,16,5,48,124,273,7
850,1,21,0,0,1,0,27,7,49,78,137,0
880,0,28,0,0,0,0,15,1,35,74,306,0
920,0,20,0,0,1,0,14,2,33,41,351,0
940,0,35,0,0,0,0,22,3,59,45,294,0
966,0,23,0,0,0,0,9,0,40,51,35,0
980,1,16,0,0,2,1,11,0,40,28,12,0
995,0,6,0,0,0,0,5,1,37,43,25,0
1010,0,5,0,0,0,0,6,0,41,92,31,1
1020,0,10,0,0,0,0,1,1,27,44,21,0
1033,0,3,0,0,0,0,8,0,8,29,13,0
