"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,1,14,235,0,9,0,7,6,13,22,32,56,1
10,2,18,198,0,25,0,7,14,16,15,34,51,3
30,3,11,218,1,16,0,6,10,22,19,31,54,2
50,4,22,272,0,14,0,15,8,20,13,62,11,0
70,9,31,210,0,15,3,11,7,11,24,70,14,1
88,2,17,205,0,23,1,5,7,24,11,34,47,1
108,3,35,221,0,36,0,8,10,16,24,49,22,0
118,1,36,300,2,14,0,11,11,7,20,51,12,2
128,2,31,208,0,28,1,3,12,16,27,51,10,1
148,2,31,237,0,23,0,5,6,19,20,37,3,2
168,6,21,217,1,16,0,8,12,7,35,60,12,0
185,1,24,173,0,18,0,4,6,19,7,54,10,2
205,3,29,232,0,20,1,11,4,19,23,51,5,1
225,2,19,171,0,17,0,10,7,6,13,36,2,0
245,6,31,182,0,20,0,10,7,11,26,63,3,0
265,8,19,222,0,31,0,9,5,14,19,67,9,1
285,5,30,181,1,25,0,12,8,12,21,49,7,2
305,3,34,181,0,22,0,8,4,12,8,54,7,0
325,6,37,237,0,34,0,12,5,15,26,71,7,0
345,7,35,200,0,12,1,12,4,14,19,69,5,1
365,3,24,180,0,22,1,9,9,19,16,67,11,1
385,5,45,237,0,17,0,10,3,13,18,66,6,0
405,3,17,167,0,12,2,14,6,11,27,80,6,0
425,6,10,191,0,12,1,7,9,11,28,72,1,1
445,6,14,254,0,5,1,9,11,18,19,54,4,1
465,7,14,233,0,5,0,8,9,11,26,54,6,1
485,9,19,298,0,7,0,20,19,14,19,63,7,1
505,8,8,262,1,7,1,14,11,8,17,71,4,1
515,17,20,305,0,12,0,15,17,12,23,96,13,0
525,3,8,270,0,20,0,8,10,8,20,59,4,1
535,7,10,308,1,24,0,5,8,0,25,40,0,0
545,5,7,231,0,83,0,9,8,2,18,61,1,1
555,10,9,296,0,80,0,11,15,3,27,74,3,1
565,8,7,218,0,77,0,12,10,1,23,70,4,1
575,0,6,161,0,49,0,7,12,4,19,78,4,0
585,3,2,230,0,77,0,7,7,2,15,65,4,0
595,7,5,217,0,60,0,8,21,9,20,86,2,0
605,6,9,223,0,67,0,8,17,9,22,89,2,2
615,12,0,187,0,4,0,9,26,3,23,181,18,0
625,4,2,243,0,5,0,6,37,20,42,138,32,1
635,10,0,260,0,1,1,2,31,39,37,98,26,1
645,3,0,268,0,3,1,0,19,37,42,90,40,1
655,5,0,252,0,2,0,3,21,26,28,75,41,2
665,6,0,171,0,1,0,2,22,23,13,69,23,2
670,6,0,248,0,1,1,1,23,31,48,78,27,6
675,7,0,274,0,2,1,0,29,15,46,106,19,2
680,5,0,204,1,1,0,1,25,49,38,67,32,4
684,1,0,119,1,0,1,1,15,38,36,60,31,5
687,1,0,165,0,1,2,2,19,28,35,57,46,1
690,0,0,63,0,0,0,1,14,9,32,48,125,0
692,1,0,49,0,1,0,1,10,5,34,58,134,1
694,2,0,94,0,1,1,1,18,4,45,52,107,2
698,0,0,94,0,1,0,0,3,4,46,43,88,1
702,4,0,160,0,0,0,0,2,2,42,53,19,0
705,2,0,45,0,1,1,0,4,2,50,28,15,0
