"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,16,42,264,1,52,5,8,47,43,85,81,153,0
20,19,106,356,1,67,6,4,48,16,64,61,96,1
57,19,86,345,1,60,3,7,41,22,54,44,11,0
87,25,125,291,3,66,7,5,41,22,61,49,61,2
105,29,203,602,0,106,7,11,83,36,125,100,7,1
135,22,83,295,1,21,4,6,56,19,95,109,3,0
155,20,40,231,0,4,4,6,46,15,41,89,4,1
165,31,151,653,2,22,4,5,58,23,85,103,4,0
175,28,112,490,0,186,5,4,37,16,78,78,2,1
203,36,125,698,3,252,8,14,85,19,91,141,7,0
240,14,48,268,2,113,1,5,47,6,73,126,3,1
277,14,11,379,0,36,2,1,88,20,110,542,9,1
303,51,67,646,1,104,9,9,271,81,148,837,15,4
333,26,5,295,0,28,1,3,160,32,105,546,14,1
371,13,0,295,1,0,3,1,53,27,131,198,22,6
381,6,1,137,0,3,1,0,30,28,254,96,45,5
403,7,0,42,0,8,0,1,24,7,181,118,51,3
413,1,0,55,0,0,0,0,6,4,59,70,77,0
438,2,0,6,0,0,0,0,4,2,14,39,55,0
