"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
1,5,32,2,3,2,1,38,2,75,18,3,0
5,7,21,2,4,8,1,52,0,81,26,3,0
10,11,42,1,5,8,2,85,1,152,48,4,0
15,4,13,1,5,4,2,34,1,61,12,2,0
19.5,5,23,3,3,5,6,63,1,70,9,2,0
30,25,42,0,6,7,4,128,0,153,22,1,0
40,7,17,0,5,4,4,62,1,93,10,1,0
50,7,13,0,6,3,1,51,0,66,8,2,0
60,17,24,1,8,9,4,158,0,123,27,2,0
70,6,19,1,2,5,5,65,0,56,10,0,0
80,10,8,1,6,3,2,49,0,47,6,1,0
90,18,31,2,8,2,11,166,0,181,34,3,0
110,13,21,0,4,5,7,97,0,104,10,0,0
120,16,32,0,6,7,14,167,0,134,33,1,0
140,8,20,1,5,1,1,70,0,107,17,0,0
150,18,23,1,7,5,9,174,1,184,35,3,0
160,7,5,0,3,3,4,43,1,66,10,0,0
180,20,24,0,8,7,6,205,2,135,33,0,0
190,5,9,2,3,2,2,59,0,40,7,0,0
210,25,37,0,7,7,8,180,0,126,32,1,0
220,3,14,0,2,1,3,63,0,53,4,0,0
240,14,20,2,3,7,7,167,0,149,14,1,0
250,2,5,0,0,3,1,38,0,39,5,0,0
270,15,28,1,1,9,12,155,0,169,19,2,0
280,11,5,0,0,2,0,42,0,33,9,0,0
290,36,40,0,5,17,16,208,0,138,35,2,0
310,2,8,0,0,4,0,53,0,36,10,0,0
320,30,44,1,3,14,8,290,0,120,27,2,0
330,12,17,0,0,10,4,95,0,34,11,0,0
340,26,35,1,3,11,12,309,1,98,27,0,0
350,4,11,0,0,2,1,39,0,23,4,0,0
370,23,36,0,12,13,9,276,0,112,29,1,0
390,3,11,0,3,6,0,58,0,55,8,0,0
410,36,45,0,26,18,8,287,0,241,35,0,0
420,7,17,0,8,4,2,58,0,48,8,0,0
440,21,34,0,15,2,12,263,0,133,28,0,0
460,2,9,2,8,1,2,83,0,49,6,0,0
480,23,19,0,15,2,10,244,0,138,29,0,0
510,4,8,0,8,2,1,69,0,43,12,2,0
520,33,40,1,24,2,11,214,0,89,29,0,0
530,4,10,0,7,0,3,86,0,42,19,1,0
540,9,29,0,23,0,9,261,1,121,85,1,0
550,0,5,0,4,0,0,36,0,28,21,4,0
560,2,45,0,8,0,4,128,0,98,132,1,0
570,0,14,0,4,0,0,77,1,26,64,5,0
580,1,32,0,16,0,0,154,1,57,148,3,0
590,0,11,0,6,0,1,38,0,10,47,0,0
610,2,10,0,9,0,4,26,0,10,94,1,0
630,2,55,0,14,0,2,85,2,39,283,4,1
640,1,13,1,1,1,0,36,4,15,98,8,0
650,0,70,0,5,0,2,107,4,48,303,7,0
670,0,31,1,1,0,0,14,6,27,108,12,0
690,0,69,0,4,1,0,34,4,62,267,26,0
710,0,14,0,8,0,1,6,9,30,103,37,0
730,0,36,0,7,0,0,11,20,77,230,105,3
750,0,13,0,2,0,0,4,5,40,36,46,1
760,0,32,3,4,0,1,6,5,75,160,206,3
770,0,15,2,1,0,0,2,1,23,22,55,3
790,0,20,0,4,0,0,1,26,46,109,323,4
810,0,7,0,0,0,0,3,3,20,56,70,3
830,1,10,0,0,0,0,9,20,46,255,125,1
850,1,5,0,1,0,0,5,2,4,86,29,1
870,2,30,2,0,1,0,42,29,38,183,145,4
890,0,15,0,1,0,0,17,7,13,43,66,1
910,1,25,0,0,1,0,25,5,40,79,205,0
920,0,9,0,0,0,0,12,2,10,16,84,0
940,0,26,0,0,0,0,31,0,44,19,84,1
949.5,0,19,0,0,0,0,13,2,13,13,72,1
970,0,52,0,0,1,0,12,0,21,28,35,1
990,0,17,1,0,0,0,7,0,15,9,3,0
