"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
1,29,7,85,7,2,6,7,132,0,40,26,1
2,8,0,68,22,1,9,10,119,0,45,26,2
3,16,6,56,12,5,7,4,128,6,38,18,2
4,17,4,49,28,0,1,14,125,5,51,14,0
6,28,2,41,16,1,8,9,129,4,60,15,4
7,10,2,67,23,1,4,2,93,2,48,6,2
8,16,0,60,7,1,4,2,112,0,52,1,0
9,15,1,53,17,0,11,1,82,0,47,4,1
12,22,3,33,18,2,5,6,91,1,47,5,3
13,16,3,48,37,0,6,8,83,0,41,17,2
14,12,4,57,24,0,8,7,98,1,56,7,2
16,18,0,72,21,3,3,3,80,1,35,11,0
18,23,2,47,44,1,5,6,81,1,46,14,2
19,17,1,36,28,4,1,7,110,3,61,14,3
21,25,2,29,31,1,4,6,84,3,55,15,0
22,26,5,32,34,0,3,1,54,2,38,15,1
23,9,1,30,35,0,6,2,69,0,37,11,1
24,12,1,26,61,0,5,3,40,2,50,1,0
26,7,2,32,45,1,11,3,51,3,47,4,1
27,4,2,13,75,0,1,1,44,0,39,2,2
28,5,0,16,73,1,2,5,43,1,85,6,1
29,11,3,11,92,2,4,2,24,2,34,9,0
31,3,0,17,81,1,10,1,28,1,63,11,4
35,3,2,5,98,4,6,0,24,4,23,14,1
37,6,0,6,62,5,16,0,35,5,50,11,4
39,1,3,9,69,6,14,2,53,6,35,10,3
40,4,0,9,62,2,11,0,69,2,50,16,3
